COLLISION_PKID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PRE_CRASH
1,4380859,2021-01-01,16:25:00,Going Straight Ahead
2,4381324,2021-01-01,02:58:00,Going Straight Ahead
3,4380871,2021-01-01,23:35:00,Going Straight Ahead
4,4381072,2021-01-02,19:18:00,Going Straight Ahead
5,4381396,2021-01-03,00:20:00,Going Straight Ahead
6,4381252,2021-01-03,12:00:00,Going Straight Ahead
7,4381812,2021-01-04,08:00:00,Going Straight Ahead
8,4381618,2021-01-04,11:30:00,Stopped in Traffic
9,4381828,2021-01-04,20:31:00,Going Straight Ahead
10,4381730,2021-01-05,13:27:00,Going Straight Ahead
11,4383778,2021-01-06,08:03:00,Passing
12,4382025,2021-01-06,17:20:00,Slowing or Stopping
13,4382882,2021-01-07,19:48:00,Making Left Turn
14,4382494,2021-01-07,11:33:00,Slowing or Stopping
15,4382554,2021-01-08,11:40:00,Going Straight Ahead
16,4382585,2021-01-08,16:16:00,Going Straight Ahead
17,4382900,2021-01-09,18:40:00,Going Straight Ahead
18,4382795,2021-01-09,14:32:00,Going Straight Ahead
19,4382916,2021-01-10,22:45:00,Making U Turn
20,4383511,2021-01-11,05:20:00,Going Straight Ahead
21,4383205,2021-01-11,12:00:00,Going Straight Ahead
22,4383624,2021-01-12,21:15:00,Slowing or Stopping
23,4383578,2021-01-13,06:49:00,Going Straight Ahead
24,4383879,2021-01-14,08:05:00,Merging
25,4386536,2021-01-15,23:30:00,Going Straight Ahead
26,4384252,2021-01-16,07:17:00,Going Straight Ahead
27,4384365,2021-01-16,22:10:00,Going Straight Ahead
28,4384573,2021-01-17,11:22:00,Going Straight Ahead
29,4385688,2021-01-18,14:50:00,Going Straight Ahead
30,4390514,2021-01-18,20:05:00,Going Straight Ahead
31,4385229,2021-01-19,00:15:00,Changing Lanes
32,4385393,2021-01-20,11:00:00,Going Straight Ahead
33,4385544,2021-01-21,06:07:00,Stopped in Traffic
34,4385927,2021-01-21,13:25:00,Slowing or Stopping
35,4385874,2021-01-22,11:25:00,Changing Lanes
36,4385962,2021-01-22,19:50:00,Making Left Turn
37,4386232,2021-01-23,12:45:00,Changing Lanes
38,4386102,2021-01-23,15:50:00,Changing Lanes
39,4386721,2021-01-24,12:15:00,Slowing or Stopping
40,4386778,2021-01-25,15:00:00,Going Straight Ahead
41,4390874,2021-01-25,18:44:00,Going Straight Ahead
42,4387073,2021-01-26,16:19:00,Avoiding Object in Roadway
43,4387248,2021-01-27,19:49:00,Going Straight Ahead
44,4387460,2021-01-27,20:15:00,Going Straight Ahead
45,4387605,2021-01-28,15:00:00,Making Left Turn
46,4387920,2021-01-29,18:00:00,Making Right Turn
47,4389153,2021-01-30,21:52:00,Going Straight Ahead
48,4387948,2021-01-30,23:10:00,Merging
49,4388073,2021-01-30,09:00:00,Going Straight Ahead
50,4388141,2021-01-31,14:00:00,Making Right Turn
51,4388422,2021-01-31,15:15:00,Making Left Turn
52,4389525,2021-02-01,00:00:00,Going Straight Ahead
53,4388638,2021-02-02,07:59:00,Going Straight Ahead
54,4389267,2021-02-03,10:37:00,Going Straight Ahead
55,4389250,2021-02-04,14:15:00,Changing Lanes
56,4389407,2021-02-04,12:40:00,Going Straight Ahead
57,4389366,2021-02-05,02:58:00,Going Straight Ahead
58,4389752,2021-02-06,20:50:00,Changing Lanes
59,4389839,2021-02-07,00:45:00,Going Straight Ahead
60,4389959,2021-02-07,19:32:00,Going Straight Ahead
61,4390461,2021-02-08,19:00:00,Going Straight Ahead
62,4390715,2021-02-08,06:43:00,Going Straight Ahead
63,4390560,2021-02-09,07:50:00,Going Straight Ahead
64,4390551,2021-02-09,05:20:00,Going Straight Ahead
65,4391185,2021-02-11,13:33:00,Backing
66,4391075,2021-02-11,05:42:00,Going Straight Ahead
67,4392723,2021-02-12,18:30:00,Making Left Turn
68,4391289,2021-02-12,03:14:00,Making Right Turn
69,4391566,2021-02-13,15:21:00,Making Right Turn
70,4391693,2021-02-14,13:00:00,Going Straight Ahead
71,4392376,2021-02-15,11:20:00,Going Straight Ahead
72,4392486,2021-02-16,17:10:00,Going Straight Ahead
73,4393138,2021-02-16,15:00:00,Making Right Turn
74,4392479,2021-02-17,09:45:00,Parked
75,4393010,2021-02-18,12:20:00,Going Straight Ahead
76,4392973,2021-02-18,23:30:00,Starting from Parking
77,4393051,2021-02-18,07:00:00,Going Straight Ahead
78,4393149,2021-02-19,22:45:00,Going Straight Ahead
